isochrone_age_yr,num_zones,initial_mass,star_mass,star_mdot,log_dt,he_core_mass,c_core_mass,one_core_mass,log_L,log_L_div_Ledd,log_LH,log_LHe,log_LZ,log_Teff,log_abs_Lgrav,log_R,log_g,log_surf_cell_z,surf_num_c12_div_num_o16,surf_avg_Lrad_div_Ledd,surface_h1,surface_he3,surface_he4,surface_li7,surface_be9,surface_b11,surface_c12,surface_c13,surface_n14,surface_o16,surface_f19,surface_ne20,surface_na23,surface_mg24,surface_si28,surface_s32,surface_ca40,surface_ti48,surface_fe56,log_center_T,log_center_Rho,center_degeneracy,center_omega,center_gamma,mass_conv_core,center_h1,center_he4,center_c12,center_n14,center_o16,center_ne20,center_mg24,center_si28,pp,cno,tri_alfa,c_alpha,n_alpha,o_alpha,c12_c12,delta_Pg,nu_max,acoustic_cutoff,max_conv_vel_div_csound,max_gradT_div_grada,gradT_excess_alpha,min_Pgas_div_P,max_L_rad_div_Ledd,e_thermal,mixing_length_alpha,f_overshoot,abs_mag_g_dr2,abs_mag_bp_dr2,abs_mag_rp_dr2,abs_mag_B,abs_mag_V
3950000000.0,2053.9872329151567,0.8506383542421692,0.8506383542421689,0.0,8.354773314339209,0.0,0.0,0.0,-0.4002628295801132,-5.028936282873564,-0.400333848055848,-48.033790333070876,-17.2442548493478,3.713319927936338,-98.99999999999999,-0.10384780984685173,4.575507557927241,-1.8184984811002092,0.5497155933978056,0.0,0.7316558169526257,2.7625639716833418e-05,0.253035593005033,0.0,0.0,0.0,0.002721934153080771,0.0,0.0007978472506935374,0.006602042185138996,0.0,0.0014117953461839931,0.0,0.0037473454647653577,0.0,0.0,0.0,0.0,0.0,7.101556143397648,2.0150039454491693,-1.4364538693211315,0.0,0.10979831626282983,0.0,0.5464102415913443,0.43664239946293,1.0795424882713887e-05,0.004237100189349224,0.007044329513477755,0.00153204470775959,0.004066524799758392,0.0,-0.4010631392087111,-3.17546654154552,-48.033790333070876,-45.26224501615662,-42.791064627829755,-48.56998692530103,-98.99999999999999,0.0,4503.357550740434,7586.042339545256,0.2346421268250916,1.6711238760681664,0.0,0.9994610765210796,0.0007524906610699035,3.8534231341538e+48,1.984885606934728,0.0,5.7213008592067895,6.1464480776936,5.136450692972398,6.814453662098193,5.982142457502332
3950000000.0,2053.817090930318,0.859145453484096,0.859145453484096,0.0,8.339478556811885,0.0,0.0,0.0,-0.3778456655995631,-5.006999290630675,-0.37791768698552086,-47.77869401571484,-55.309657310400496,3.716473162626028,-99.0,-0.09894235460187331,4.570012040476224,-1.8191952699965808,0.5497155933978055,0.0,0.7319996009649988,2.7584348098032287e-05,0.25270710215784453,0.0,0.0,0.0,0.002719416954827627,0.0,0.0007971094151718888,0.006595936729194458,0.0,0.0014101830464053734,0.0,0.0037430659179602415,0.0,0.0,0.0,0.0,0.0,7.105874997710249,2.020479094715755,-1.443110879364624,0.0,0.10963092127978814,0.0,0.5406261732514593,0.4424397868840268,1.1023279183539642e-05,0.0042386341606372975,0.0070439915139331975,0.0015319234757618858,0.004066203012200441,0.0,-0.3786597098551071,-3.144190606547589,-47.77869401571484,-44.87235374781599,-42.557975839799965,-48.31555995407589,-99.0,0.0,4430.7930509460975,7471.885998749995,0.2389452518329736,1.7081633865811814,0.0,0.9994407592903984,0.0007823729736959766,3.921403017789151e+48,1.9773955293945653,0.0,5.658951367108672,6.0764737554684025,5.0808812625433175,6.734702696088848,5.917003053026159
3950000000.0,2053.648357473636,0.8675821263182033,0.8675821263182033,0.0,8.324341816374718,0.0,0.0,0.0,-0.3557197451498752,-4.987527507719793,-0.35579088144523763,-47.5250057226385,-92.24318506063571,3.7195323153596154,-98.99999999999999,-0.09399438859632397,4.564357394850208,-1.819912264925992,0.5497155933978054,0.0,0.7323535955411633,2.754242860943897e-05,0.25236885084668165,0.0,0.0,0.0,0.0027168196237404266,0.0,0.0007963480912931576,0.0065896369113289,0.0,0.0014085291132833293,0.0,0.0037386758632680654,0.0,0.0,0.0,0.0,0.0,7.110177049441119,2.0260481078597445,-1.4495788880465816,0.0,0.10949147310350715,0.0,0.5346501146476703,0.44842496860021686,1.1254781488932014e-05,0.004240375196472853,0.007043211562613906,0.0015318247513440564,0.004065940966784009,0.0,-0.3565513314669894,-3.110739300276512,-47.5250057226385,-44.487180753593066,-42.3263930389454,-48.06281718312018,-98.99999999999999,0.0,4358.223538973273,7356.519988759383,0.2432556103474497,1.746686764620884,0.0,0.9994191338470969,0.000811590558125328,3.989449679624205e+48,1.969120716038456,0.0,5.597770105400077,6.0079574640589195,5.026266296624364,6.656563226126283,5.852903995469289
3950000000.0,2053.481305535033,0.8759347232483371,0.8759347232483373,0.0,8.309366754907355,0.0,0.0,0.0,-0.33386545104579685,-4.969803830263456,-0.3339375984622533,-47.27273059523469,-98.99999999999999,3.7225549084967766,-98.99999999999999,-0.08910916383597443,4.558748312564267,-1.82061376320341,0.5497155933978053,0.0,0.7327210584236032,2.7499781844849014e-05,0.2520177288717349,0.0,0.0,0.0,0.002714112812947404,0.0,0.0007955546769679337,0.0065830715508030085,0.0,0.0014068231648789477,0.0,0.003734147743782793,0.0,0.0,0.0,0.0,0.0,7.114463185237814,2.0317367442723118,-1.455867479537322,0.0,0.10937964530419182,0.0,0.528485756419114,0.45459410997765753,1.1490182607901477e-05,0.004242514653651224,0.007041918358180251,0.001531737491860866,0.004065709352882272,0.0,-0.3347229827109845,-3.074832866752303,-47.27273059523469,-44.10669479677095,-42.096291975683286,-47.8117384564925,-98.99999999999999,0.0,4287.434176398078,7243.179453547155,0.2476499694661085,1.7849911466877415,0.0,0.999396476529396,0.0008416346281171381,4.057519566180804e+48,1.9637296278921703,0.0,5.5375793228427534,5.940582568315869,4.9725509041789335,6.579554924410925,5.789640455707854
3950000000.0,2053.3188214100664,0.8840589294966763,0.8840589294966763,0.0,8.294796579847356,0.0,0.0,0.0,-0.3126828063151466,-4.952577743231428,-0.31275646994913603,-47.02661551275274,-98.99999999999999,3.725469364760556,-98.99999999999999,-0.08434358776599478,4.553228799253092,-1.8213136006100312,0.5497155933978051,0.0,0.7330923320909266,2.7458751251825367e-05,0.2516630197995567,0.0,0.0,0.0,0.002711362449775673,0.0,0.0007947484966668783,0.006576400554128209,0.0,0.001405100100325673,0.0,0.003729574192696472,0.0,0.0,0.0,0.0,0.0,7.118650383860989,2.0373894766136527,-1.4618954902242431,0.0,0.1092914002669788,0.0,0.5222127186368896,0.46086732738324326,1.1724708921923176e-05,0.00424522600775113,0.007040147244068324,0.0015316868749747476,0.004065574999869179,0.0,-0.31357230871791564,-3.0375368708720654,-47.02661551275274,-43.73797158560838,-41.87205001512412,-47.567104033730494,-98.99999999999999,0.0,4219.1091893420235,7132.889946329174,0.25201171868028144,1.8228580901974716,0.0,0.9993731808624797,0.0008747787775802661,4.124364480517428e+48,1.9602441888381563,0.0,5.479507194570507,5.8756436773432,4.920712220541003,6.505200479871068,5.728416664023731
3950000000.0,2053.165002852936,0.8922266212235169,0.8922266212235169,0.0,8.280133968460028,0.0,0.0,0.0,-0.2914764323821171,-4.936459667884224,-0.29154925649256547,-46.778052839403166,-46.543478336845816,3.7283237047636737,-98.99999999999999,-0.0794458784655285,4.547430763885318,-1.8220746070851863,0.5497155933978051,0.0,0.7334736313997182,2.741930925657632e-05,0.25129886673315843,0.0,0.0,0.0,0.0027085117247887007,0.0,0.0007939128985350227,0.006569486130206181,0.0,0.001403319934423424,0.0,0.0037248490768088567,0.0,0.0,0.0,0.0,0.0,7.122889488743288,2.04325487077468,-1.4678005891353787,0.0,0.1092369429974144,0.0,0.51562889069823,0.4674466420207429,1.1967832400329031e-05,0.004248738041178534,0.007037633278931493,0.0015316767798806985,0.004065548204338934,0.0,-0.29240457714813733,-2.9966602106329767,-46.778052839403166,-43.3681242627635,-41.64572463338981,-47.32026052668103,-98.99999999999999,0.0,4149.525026606075,7019.518957352454,0.25640719380528604,1.8625356441093368,0.0,0.9993482020633779,0.0009092102617774983,4.192156589325957e+48,1.956362006620444,0.0,5.421723122103963,5.811190817319831,4.869026105751543,6.431397993172936,5.667361735598307
3950000000.0,2052.9947009163025,0.9001883471374102,0.9001883471374102,0.0,8.265809817853762,0.0,0.0,0.0,-0.27086169387571946,-4.917076006084967,-0.2709347762030892,-46.5347696394742,-15.686580510485078,3.7310905824538376,-98.99999999999999,-0.07466914640477545,4.54173939953446,-1.8227872367724456,0.5497155933978051,0.0,0.7338631142279389,2.7382444581330493e-05,0.25092689296767856,0.0,0.0,0.0,0.00270559163904692,0.0,0.0007930569695338597,0.0065624034720053286,0.0,0.0014015109402456948,0.0,0.00372004744168092,0.0,0.0,0.0,0.0,0.0,7.1270456570310685,2.048956272035538,-1.4734712540771395,0.0,0.10920678291161091,0.0,0.5089039255665716,0.4741623058089533,1.221151175427265e-05,0.004252984760609032,0.007034470539440535,0.0015317083567957912,0.004065632019326628,0.0,-0.27183677766566244,-2.953998327012047,-46.5347696394742,-43.00859107675993,-41.42441963028857,-47.07896041504063,-98.99999999999999,0.0,4082.448755332217,6909.542232207151,0.2607759453987206,1.9017604616438548,0.0,0.9993226310571129,0.0009416158238271763,4.258870648203188e+48,1.9548474200463173,0.0,5.365791649831496,5.748854272435085,4.818996030851559,6.359887580379388,5.608094032264349
3950000000.0,2052.6989798915843,0.9078776298536477,0.9078776298536477,0.0,8.251942618908426,0.0,0.0,0.0,-0.25100495292065367,-4.89538005049338,-0.2510790356997343,-46.29870224087488,-17.10214616275417,3.733747946351128,-98.99999999999999,-0.07005249452797646,4.5362022867965965,-1.8234170711070012,0.5497155933978063,0.0,0.7342498568602169,2.7346878190257705e-05,0.2505575505890302,0.0,0.0,0.0,0.0027026940223103227,0.0,0.0007922076265972386,0.006555375312301383,0.0,0.0013997083347162596,0.0,0.0037152627640194297,0.0,0.0,0.0,0.0,0.0,7.131085961083673,2.054541712935836,-1.4788551873536402,0.0,0.10920232811709024,0.0,0.5022797283906425,0.4807801067681988,1.2453574120963934e-05,0.004257756109596734,0.00703074094766276,0.001531798459978478,0.0040658711812943445,0.0,-0.2520339350727769,-2.90981139513958,-46.29870224087488,-42.6621721962792,-41.20988411073782,-46.84510626063821,-98.99999999999999,0.0,4018.356922824519,6803.672687037425,0.265076832431129,1.9401352236265008,0.0,0.9992964177048608,0.0009719967456579126,4.323903120138032e+48,1.9550985940235135,0.0,5.312176405674944,5.689152915560709,4.771036378623736,6.291251905030561,5.55108386136976
3950000000.0,2052.3269760423955,0.9153900856139069,0.9153900856139069,0.0,8.238348026391318,0.0,0.0,0.0,-0.23166794105567287,-4.885046804328732,-0.23174129232524843,-46.06664422397383,-34.19652986036134,3.736288088242392,-99.0,-0.06546133783950375,4.530598831002163,-1.8240473352535984,0.5497155933978091,0.0,0.7346240773616245,2.731122618057884e-05,0.25020036969165427,0.0,0.0,0.0,0.00269987384266903,0.0,0.000791380981848785,0.006548534976013092,0.0,0.0013979247403195904,0.0,0.0037105285478376015,0.0,0.0,0.0,0.0,0.0,7.135066649267009,2.060248652188021,-1.4839805429684487,0.0,0.1092317168268138,0.0,0.4957716745429519,0.4872892506043706,1.2697860005643416e-05,0.004263090899022942,0.0070262830318662895,0.0015319478666047882,0.0040662677531098125,0.0,-0.23275717628770745,-2.86316680367943,-46.06664422397383,-42.32408710342875,-40.99915686905005,-46.61547743580464,-99.0,0.0,3955.2290734188095,6698.471483579085,0.26932583483861333,1.9785020165373612,0.0,0.9992689776144845,0.001009454512217781,4.387971608760997e+48,1.9543180563430005,0.0,5.260282518054549,5.631498930054061,4.724542004304211,6.224926535133234,5.495762074975424
3950000000.0,2051.409064845649,0.9227001705004918,0.9227001705004918,0.0,8.225051443669004,0.0,0.0,0.0,-0.21289050170154228,-4.875963267521152,-0.21296379814052396,-45.839519146396405,-51.50039609520093,3.7387423397569193,-98.99999999999999,-0.06097827783446756,4.5250858275586845,-1.8247340105263192,0.5497155933978127,0.0,0.7349996944056275,2.727492116708728e-05,0.24984191817041967,0.0,0.0,0.0,0.002697035252515672,0.0,0.0007905489406522145,0.006541649985089351,0.0,0.0013961250760867747,0.0,0.0037057516772953047,0.0,0.0,0.0,0.0,0.0,7.138969625262429,2.066089938457328,-1.4888922721740192,0.0,0.10928530792803434,0.0,0.4893433971449919,0.4937230108076918,1.2943445577144632e-05,0.004269013024042477,0.0070209758817312284,0.0015321327349930454,0.004066758451508973,0.0,-0.21404960461102168,-2.8147175016937465,-45.839519146396405,-41.995482473277605,-40.793102574340566,-46.391031423594605,-98.99999999999999,0.0,3894.3050011035302,6596.2642251849575,0.27354840395572755,2.015632827690156,0.0,0.9992411147557628,0.0010433891265943453,4.450858205399408e+48,1.9549698058866327,0.0,5.210119760334135,5.575815869015042,4.679594967200923,6.1607506746936735,5.442148672015684
