TICID,cluster,logg_gaia,feh,numax_pred,numax_final,numax_source,dnu_hon,data_source,has_spoc,peak1,peak2,peak3,M_anchor,dnu_cluster,dnu_scaling,dnu_lo,dnu_hi,dnu_center,ratio,realistic,radius_flame,radius_flame_lower,radius_flame_upper,mass_flame,mass_flame_lower,mass_flame_upper,teff_gspspec,teff_gspspec_lower,teff_gspspec_upper,logg_gspspec,logg_gspspec_lower,logg_gspspec_upper,logg_andrae,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,parallax,BP_RP,M_G,evo_state,numax_err_lo,numax_err_up,dnu_err_lo,dnu_err_up,teff_err_lo,teff_err_up,numax_corr,dnu_corr,f_dnu,R_seis,M_seis,logg_seis,R_err_up,R_err_lo,M_err_up,M_err_lo,logg_err_up,logg_err_lo,R_flame_err,age_gyr,age_std,sigma_obs,sigma_model,age_MIST,age_Dartmouth,age_GARSTEC,age_YREC,Within1kpc,Mag<13/TESS,Giants,crowdbleedsec,Crowding,Bleeding,n_sectors,M_eff,numax_pysyd,dnu_pysyd,config,n_spoc,n_qlp,has_qlp,hon21_numax,hon21_e_numax,hon21_flag,R_gaia,R_gaia_err,detection_flag
306345133,Theia_6046,2.01,-0.02,13.090466560238388,35.0,Hon+21,2.89,QLP,False,38.987026365000006,174.56439286,124.930392325,1.5240174166293003,2.732419715844166,3.0342170415394065,2.4591777442597493,3.3376387456933476,3.687,1.6974184913692911,True,10.586564,10.348926,10.823149,3.0028684,2.9628682,3.0428684,4448.0,4438.0,4458.0,2.01,1.99,2.02,2.49,10.98419,9.5644,10.334998,1.2824451021632164,1.4197900000000008,0.8751919163349555,RGB,5.2452792,5.2452792,0.1889395688549698,0.1889395688549698,80.0,80.0,34.968528,3.7787913770993966,0.9757088,12.6927271375169,1.599778901815743,2.4349100771615726,2.291059066887673,2.291059066887673,0.7889811039187431,0.7889811039187431,0.0652611393973852,0.0652611393973852,0.4742230000000003,6.693107324864844,3.402131408561486,3.3984473063120206,0.1582846402565097,6.693107324864844,7.1250449766603,6.894315111857712,6.999275259175377,y,y,y,y,2.5,4.5,5,1.1714136595686568,31.54829324,3.6399027122168985,wide,0,3,True,34.6,2.4,1.0,11.120050502026867,0.5803922386686379,marginal
43902016,Theia_6046,1.53,-0.26,4.310022311082373,15.08,Hon+21,2.04,QLP,False,16.222250005,67.875920495,140.4696976933333,1.5240174166293003,2.05083638594741,2.250095367086823,1.836,2.4751049037955055,2.102,3.496501621639049,True,,,,,,,4499.0,4495.0,4502.0,1.53,1.51,1.53,2.168,9.673288,8.297405,9.051805,1.221536848053075,1.375883,-0.513662139299015,RGB,2.259966,2.259966,0.1077727645611156,0.1077727645611156,80.0,80.0,15.06644,2.1554552912223133,0.9752,16.90408390365454,1.2295388595185686,2.0717189797960165,3.051130834947013,3.051130834947013,0.6063651701972361,0.6063651701972361,0.0652585048938014,0.0652585048938014,,4.883791619555268,2.6091189863612656,2.6036216472321683,0.1692814315124033,4.883791619555268,5.282428106502915,5.110166148142261,5.307167410321848,y,y,y,y,2.5,4.0,5,1.2159698645265704,21.39394975,2.4943949729622164,wide,0,3,True,15.8,1.6,1.0,20.389632914539497,1.0584895068761486,unconfirmed
24297458,Theia_6046,1.98,-0.02,12.163525785392364,31.0,Hon+21,5.36,QLP,False,33.358504027500004,67.466993425,107.74789759000002,1.5240174166293003,5.484162098477577,6.183270017337315,4.824000000000001,6.801597019071047,3.428,4.60475038144487,True,12.315709,12.050344,12.579802,2.9028366,2.6006403,3.1061342,4487.0,4482.0,4495.0,1.98,1.96,1.99,2.329,10.429629,8.949734,9.746946,1.5973747131431408,1.4798950000000008,0.7639800257817431,RGB,4.645818749999999,4.645818749999999,0.1752309695486606,0.1752309695486606,80.0,80.0,30.972125,3.5046193909732124,0.9781376,13.127086706357728,1.522215299339818,2.384099374929528,2.369410817905543,2.369410817905543,0.75070874115775,0.75070874115775,0.0652591167128425,0.0652591167128425,0.529458,4.008840530782445,2.6508276551879706,2.6481819015069887,0.1184055490261466,4.008840530782445,4.343727178897338,4.173562061692766,4.175554900904068,y,y,y,y,2.0,3.5,5,1.355101048957856,32.46063422,3.693880844040837,wide,0,3,True,32.1,2.1,1.0,11.409109111679172,0.5930263780056639,unconfirmed
24666306,Theia_6046,1.96,0.24,11.87425838137978,33.32,Hon+21,3.75,QLP,False,34.5371570075,104.081538735,9.23896727,1.5240174166293003,3.651625143874048,4.1422408133824575,3.286462629486643,4.556464894720704,3.701,2.803543508216277,True,,,,,,,4294.0,4274.0,4312.0,1.96,1.92,2.0,2.379,12.13324,10.520926,11.367852,1.0376405320559676,1.6123140000000014,1.4480866385511053,RGB,4.99350585,4.99350585,0.1897942488804139,0.1897942488804139,80.0,80.0,33.290039,3.795884977608279,0.9750032,11.765767733820924,1.2858082335283834,2.4058956607969093,2.1239337374507645,2.1239337374507645,0.6342059004947419,0.6342059004947419,0.0652696714486272,0.0652696714486272,,6.037299690508192,3.5913291565993775,3.588694525570591,0.1375380426662598,6.037299690508192,5.7124466184216764,5.690767591776618,5.833687839722657,y,y,y,y,3.0,3.5,5,1.269536639293439,34.28075644,3.6943618743866216,wide,0,4,True,35.3,3.3,1.0,9.49683510315324,0.5041931178713006,unconfirmed
24444542,Theia_6046,1.43,-0.22,3.506792964317948,10.0,Hon+21,2.14,SPOC,True,48.47013525,165.248752075,99.40413364,1.5240174166293003,2.163772083557563,2.4217750819732675,1.926,2.6639525901705943,1.453,4.727966597601726,True,,,,,,,4288.0,4283.0,4292.0,1.43,1.41,1.44,1.912,10.052856,8.503765,9.328411,1.2773552949586429,1.5490910000000009,-0.1400304370249667,RGB,1.4986512,1.4986512,0.0746821306477783,0.0746821306477783,80.0,80.0,9.991008,1.4936426129555662,0.9727896,22.79000073677373,1.4468240201771605,1.882887031866653,4.114022392812934,4.114022392812934,0.7136277643794428,0.7136277643794428,0.0652700225658574,0.0652700225658574,,4.401366865638932,2.503287266051643,2.500852934492986,0.1103709038385009,4.401366865638932,4.491021606275606,4.581501356386281,4.699471583395422,y,y,y,y,3.0,3.5,5,1.26601599341882,15.28232354,1.8704933199395144,wide,3,3,True,,,,19.81854829134096,1.0529050180609656,confirmed
249064439,Theia_6046,2.69,-0.11,58.7670624222497,74.0,Hon+21,6.66,QLP,False,36.76018597666667,122.21499539333333,101.096690495,1.5240174166293003,6.2529389486424405,6.756920175748761,5.627645053778196,7.432612193323638,5.81,1.0694766321381493,True,,,,,,,5056.0,5040.0,5081.0,2.69,2.61,2.78,3.065,11.042634,9.811644,10.509689,1.2645352025179644,1.2309900000000005,1.0193436193570378,RGB,11.090019,11.090019,0.2948194588555849,0.2948194588555849,80.0,80.0,73.93346,5.896389177111699,0.9853488,11.75095918708914,3.0908756728584312,2.7878949005917377,2.120473206557809,2.120473206557809,1.5238465681696618,1.5238465681696618,0.0652347178529699,0.0652347178529699,,3.0179734362608697,1.9874852197700577,1.972792348022356,0.241221579442788,3.0179734362608697,3.574562433688439,3.5780223110735543,3.572511995204354,y,y,y,y,2.5,5.0,5,1.393872710556768,37.63584884,3.7440456047615527,wide,0,3,True,,,,7.346846865053971,0.3622863280990713,unconfirmed
34472483,Theia_6046,2.56,-0.14,44.153660114586685,103.0,Hon+21,3.97,QLP,False,72.91207591,11.19719855,107.52026415,1.5240174166293003,3.97,4.282379410986513,3.573,4.710617352085165,8.826,0.7872507037874448,True,,,,,,,4922.0,4912.0,4943.0,2.56,2.5,2.62,2.862,10.539273,9.213876,9.949137,1.7256761267363965,1.3253969999999988,1.133933455246126,RGB,15.436107449999998,15.436107449999998,0.4494812784376101,0.4494812784376101,80.0,80.0,102.907383,8.989625568752201,0.9817984,6.942808192958205,1.4817604884610327,2.925667675445008,1.252903646968966,1.252903646968966,0.7305761457031252,0.7305761457031252,0.0652397114575309,0.0652397114575309,,2.5934022443149067,1.81310709290978,1.7989635621372126,0.226025291643092,2.5934022443149067,3.179001137145532,3.068258847205441,3.0668327270476503,y,y,y,y,2.5,3.5,5,1.464122978512948,34.29623745,3.8827659955456846,wide,0,3,True,,,,7.462653763495179,0.3721556627885137,unconfirmed
195860623,Theia_844,2.48,0.04,36.584462323606374,63.5,envelope_revised,,QLP,False,106.10111406,25.419552295,158.517127355,3.1513912499999996,7.829313266099072,10.331866337959598,7.046381939489165,11.365052971755558,5.161,2.9001687416227937,True,12.497926,12.216515,12.775419,3.1014793,2.798701,3.2097547,4960.0,4956.0,4970.0,2.48,2.46,2.51,2.704,9.708312,8.544122,9.205404,1.5255185344132167,1.1641899999999996,0.1224914425354821,RGB,9.51643515,9.51643515,0.2619035439847743,0.2619035439847743,80.0,80.0,63.442901,5.238070879695487,0.9852864,12.65558324321091,3.04704268390616,2.7172742084304584,2.283799370399678,2.283799370399678,1.5023043029742715,1.5023043029742715,0.0652382542100848,0.0652382542100848,0.5589040000000001,0.2402890097180336,0.5127228430839347,0.1135108533140027,0.5,0.2402890097180336,,,,y,y,y,y,3.0,4.0,5,3.566770472179523,69.33537962,5.6250797092748135,wide,0,8,True,,,,11.656671779710209,0.5794193049960102,unconfirmed
195862014,Theia_844,2.22,-0.01,20.227372618220603,58.0,envelope,,QLP,False,61.537772807500005,172.57759906,70.94143702,3.1513912499999996,5.107303999287725,6.694748294816281,4.596573599358953,7.36422312429791,5.04,3.042301833707628,True,13.475784,13.188441,13.761315,3.2013032,3.161303,3.2413042,4900.0,4894.0,4907.0,2.22,2.19,2.24,2.656,9.533838,8.370131,9.03049,1.5418528576126689,1.1637069999999987,-0.0292953498947738,RGB,8.69217705,8.69217705,0.2564277899343545,0.2564277899343545,80.0,80.0,57.947847,5.12855579868709,0.9827328,11.985225500394757,2.4809505089867345,2.6752856815982353,2.162881266148505,2.162881266148505,1.2232362905092915,1.2232362905092915,0.0652405706509661,0.0652405706509661,0.5728740000000005,0.2766606192668811,0.5197464626902669,0.1419027324579939,0.5,0.2766606192668811,,,,y,y,y,y,3.0,4.0,5,3.3945699660483575,35.98040952,4.320908120191013,wide,0,8,True,,,,12.900024914707824,0.6445412072856453,confirmed
459055617,Unknown_3,1.71,-0.11,6.609243910632398,16.5,SPOC_envelope,,SPOC,True,47.137693979999995,18.276876225,186.0242231133333,1.5,4.8232164706309435,5.446378260753253,4.340894823567849,5.991016086828579,2.109,7.132085699571296,True,,,,,,,4383.0,4373.0,4392.0,1.71,1.69,1.73,2.117,10.345045,8.924694,9.695972,1.1786922233481287,1.420351,0.0529740909917926,RGB,2.4727744499999997,2.4727744499999997,0.1079822264020178,0.1079822264020178,80.0,80.0,16.485163,2.1596445280403573,0.9765496,18.185090608252267,1.5367395069385514,2.105129317796269,3.2825618359902045,3.2825618359902045,0.7579251324773497,0.7579251324773497,0.0652646311469084,0.0652646311469084,,8.612636702979156,4.934350240500801,4.883291926256554,0.7080058325239006,8.612636702979156,10.42537105674477,9.995962048142315,10.20767754288051,y,y,y,y,3.0,4.0,5,1.0566522534743856,48.27045645,3.221157548181099,tight,3,5,True,,,,16.96457936744252,0.8916987229602212,marginal
352774198,COIN-Gaia_30,1.26,-0.3,,30.5,envelope,,QLP,False,,,,1.5,,,,,4.884,,,,,,,,,4601.0,,,1.26,,,,9.209836,7.456918,8.360672,1.37593,1.752918,,RGB,4.5708862024178245,4.5708862024178245,0.2504615384615384,0.2504615384615384,80.0,80.0,30.472574682785496,5.009230769230769,0.975,6.4016838487815715,0.3606733456169435,2.382485603533733,1.1554211443414362,1.1554211443414362,0.177859957404657,0.177859957404657,0.0652534959833374,0.0652534959833374,,,,,,,,,,y,,y,,2.5,4.5,5,,30.56976715,2.7874057552534004,wide,0,0,False,,,,23.33988705733795,1.1991153372476029,unconfirmed
402808611,HSC_2615,1.38,-0.2,,45.8,envelope,,SPOC,True,,,,1.5,,,,,5.4,,,28.167368,,,4.497036,,,4748.0,,,1.38,,,,6.161774,4.947137,5.634158,3.534775,1.214637,,RGB,9.036866819862125,9.036866819862125,0.3162932790224033,0.3162932790224033,80.0,80.0,45.8,5.5,0.982,8.107677940973383,0.8832916967977116,2.5662711699496055,1.4632275217289106,1.4632275217289106,0.43554321352676256,0.43554321352676256,0.0652468366064546,0.0652468366064546,,,,,,,,,,y,,y,,2.0,2.0,5,,45.773203,4.500284664722503,wide,12,7,True,,,,29.23378170458451,1.4807984797708078,unconfirmed
427725221,UPK_226,1.19,-0.15,,33.2,envelope,,QLP,False,,,,1.5,,,,,3.787,,,,,,,,,4485.0,,,1.19,,,,10.018819,8.020534,9.006091,1.14651,1.998285,,RGB,4.975522030172845,4.975522030172845,0.19341164453524,0.19341164453524,80.0,80.0,33.17014686781897,3.868232890704801,0.979,11.537306396656378,1.2590060227533373,2.4137789549486413,2.082461168986191,2.082461168986191,0.6209030132460122,0.6209030132460122,0.0652592191598564,0.0652592191598564,,,,,,,,,,y,,y,,2.0,3.5,5,,25.50849327,3.422136042779773,wide,0,10,True,,,,22.388009012994686,1.1639354549328371,unconfirmed
