TICID,cluster,teff,logg_gaia,feh,numax_pred,numax_final,numax_source,dnu_hon,data_source,has_spoc,peak1,peak2,peak3,M_anchor,dnu_cluster,dnu_scaling,dnu_lo,dnu_hi,dnu_center,ratio,realistic
306552813,Casado_Alessi_1,5010,2.52,-0.04,39.91339333523751,80.0,envelope,,QLP,False,25.321985815,66.01803445499999,76.84422688000001,2.7020533,6.4715486378383735,8.136413489439366,5.824393774054537,8.950054838383304,7.3039810636388705,1.653580276817305,True
306955660,Casado_Alessi_1,4920,2.24,-0.07,21.137565360759417,66.8,envelope,,QLP,False,69.90567327333333,28.99574069,114.17743087333332,2.7020533,5.614626129580408,7.081603343235854,5.053163516622368,7.78976367755944,6.348114736408132,3.3071771549957636,True
306187638,Casado_Alessi_1,4985,2.46,-0.01,34.850172619030744,83.3,envelope,,QLP,False,69.88831456666666,24.28339987,78.36243573,2.7020533,6.65824496171507,8.393640651403478,5.992420465543563,9.233004716543826,7.525942806559274,2.00539364124993,True
140143506,HSC_1986,5424,3.05,0.4,129.9803417416181,172.4,envelope,,SPOC,True,174.967429512,37.8759496725,125.3753202675,3.1591742,11.403928688721184,14.6956030499769,10.263535819849068,16.16516335497459,13.04976586934904,1.3461068586802891,True
414752508,HSC_95,4983,2.5,-0.08,38.220122203274535,28.4,envelope,,QLP,False,29.08390486,108.65431725,169.30961419333337,1.5,3.4411221010325543,3.665294228475451,3.097009890929299,4.031823651322997,3.5532081647540026,0.7609579243445804,True
354016987,LISC_3534,4362,1.64,0.09,5.63890378330592,20.4,envelope,,QLP,False,20.796936345,23.900826925,98.6724208,1.5,2.5542123105562773,2.8409850613255276,2.2987910795006496,3.1250835674580806,2.6975986859409025,3.688116900765308,True
437030530,NGC_2682,4267,1.36,-0.17,2.992100615449564,8.9,envelope,,QLP,False,9.301855665,165.3106329325,59.52597965,1.5,1.3598491722970072,1.4999750191159358,1.2238642550673065,1.6499725210275296,1.4299120957064717,3.108804435576239,True
67569102,NGC_752,4862,2.27,-0.12,22.784003446218662,66.4,envelope,,SPOC,True,65.961087425,128.7093100775,24.096485815,2.7518926500000003,5.539223075050916,7.048929099104836,4.985300767545825,7.75382200901532,6.294076087077876,2.895061334620155,True
67420118,NGC_752,4956,2.43,-0.06,32.61909187951771,74.0,envelope,,SPOC,True,125.311606286,34.351730053333334,79.52660793,2.7518926500000003,6.051530330565898,7.66235281600133,5.446377297509308,8.428588097601464,6.856941573283613,2.437222970327997,True
186970424,NGC_752,4859,2.27,-0.1,22.791035907967373,68.1,envelope,,SPOC,True,69.67634081,142.17605727333333,49.08584403,2.7518926500000003,5.643942869476004,7.187485761322776,5.079548582528404,7.9062343374550546,6.41571431539939,3.0571818275992575,True
